release_group_mbid,release_group_name,genre,release_year,artist_name,release_id,cover_art_id,imUrl,decade,image_file
57386cfd-1e0e-4e94-87e8-b1cefdb38c02,Stigmates,classical,1970,Michel Puig,c7bbb55d-1075-45d9-8ed6-9afde3063529,16165204324,http://coverartarchive.org/release/c7bbb55d-1075-45d9-8ed6-9afde3063529/16165204324-250.jpg,1970s,Michel_Puig_Stigmates.jpg
fb579077-91f5-4fe6-895b-9b8bc9667c13,Süit la-minoor flöödile ja keelpillidele,classical,1970,Samuel Saulus,7f3a25f1-44a5-46cb-9b14-866d2f815d1b,1266344294,http://coverartarchive.org/release/7f3a25f1-44a5-46cb-9b14-866d2f815d1b/1266344294-250.jpg,1970s,Samuel_Saulus_Süit_la-minoor_flöödile_ja_keelpillidele.jpg
cac9f928-6316-4697-b336-9c136be4ad6d,Il pirata,classical,1971,Orchestra sinfonica di Roma della RAI,279d4d2e-72bf-4db0-bcaa-6224626a9933,16964491690,http://coverartarchive.org/release/279d4d2e-72bf-4db0-bcaa-6224626a9933/16964491690-250.jpg,1970s,Orchestra_sinfonica_di_Roma_della_RAI_Il_pirata.jpg
7be37eff-a4f0-47d4-84c7-80d5a21444b9,Six Concertos,classical,1971,Herbert von Karajan,6d7f07e7-efaa-44f5-89d7-b9b9584621c9,25590294904,http://coverartarchive.org/release/6d7f07e7-efaa-44f5-89d7-b9b9584621c9/25590294904-250.jpg,1970s,Herbert_von_Karajan_Six_Concertos.jpg
c8202da0-ffbd-3863-9f19-1f06f3d10f52,24 Caprices,classical,1972,Niccolò Paganini,b323683a-092a-4319-80ac-737c00bc0ffe,27365087545,http://coverartarchive.org/release/b323683a-092a-4319-80ac-737c00bc0ffe/27365087545-250.jpg,1970s,Niccolò_Paganini_24_Caprices.jpg
ddf5c7cf-b5e8-32f3-83c0-c2a3dc602568,La Cenerentola,classical,1972,Teresa Berganza,5c17f09f-b43b-49a5-a5c9-91169ae49ba2,27221956150,http://coverartarchive.org/release/5c17f09f-b43b-49a5-a5c9-91169ae49ba2/27221956150-250.jpg,1970s,Teresa_Berganza_La_Cenerentola.jpg
f669027f-3143-45f1-a5b1-6d0a293e7c60,"Organ Music by Charles Tournemire, Jeanne Demessieux, Camille Saint-Saëns",classical,1972,Nicolas Kynaston,0386f44d-e59b-4ec7-8a10-98f65c064dc7,24335637618,http://coverartarchive.org/release/0386f44d-e59b-4ec7-8a10-98f65c064dc7/24335637618-250.jpg,1970s,"Nicolas_Kynaston_Organ_Music_by_Charles_Tournemire,_Jeanne_Demessieux,_Camille_Saint-Saëns.jpg"
160117e0-2207-456f-b284-a4be428c2871,"Michael Murray Playing the Organ at Grace Cathedral, San Francisco",classical,1973,Louis Vierne,d3b7c2cf-0769-4ee9-b3d5-dc992f65205d,24335595216,http://coverartarchive.org/release/d3b7c2cf-0769-4ee9-b3d5-dc992f65205d/24335595216-250.jpg,1970s,"Louis_Vierne_Michael_Murray_Playing_the_Organ_at_Grace_Cathedral,_San_Francisco.jpg"
02d30471-63aa-33d5-9813-aca9fb54b17f,"Serenades: Eine kleine Nachtmusik, K. 525 / ""Posthorn"" Serenade (no. 9 in D major), K. 320",classical,1973,The Cleveland Orchestra,ee16c991-6755-4f32-a942-36de380907ee,15932039342,http://coverartarchive.org/release/ee16c991-6755-4f32-a942-36de380907ee/15932039342-250.jpg,1970s,"The_Cleveland_Orchestra_Serenades__Eine_kleine_Nachtmusik,_K._525____Posthorn__Serenade_(no._9_in_D_major),_K._320.jpg"
e3ecd5e1-0bbe-4342-af65-734e2e687b89,Chansons der Trouvères,classical,1974,Studio der Frühen Musik,194a75ff-d4e1-417b-874c-0358f439836a,25125947318,http://coverartarchive.org/release/194a75ff-d4e1-417b-874c-0358f439836a/25125947318-250.jpg,1970s,Studio_der_Frühen_Musik_Chansons_der_Trouvères.jpg
7d2a98e5-9429-4e3e-8ed7-fd91d336d3cf,Musik Für Laute: I. England,classical,1974,Baruch Bulman,75ec17b8-d579-4d05-b804-3fd9a01de5f6,38232840148,http://coverartarchive.org/release/75ec17b8-d579-4d05-b804-3fd9a01de5f6/38232840148-250.jpg,1970s,Baruch_Bulman_Musik_Für_Laute__I._England.jpg
9eee4bfe-65e8-49e2-bd65-9c49c70f9709,"The French Suites, Vol. 2: Nos. 5 and 6 / Overture in the French Style",classical,1974,Glenn Gould,64b4690a-c2e4-4697-a15e-1f50293c71f0,25822334741,http://coverartarchive.org/release/64b4690a-c2e4-4697-a15e-1f50293c71f0/25822334741-250.jpg,1970s,"Glenn_Gould_The_French_Suites,_Vol._2__Nos._5_and_6___Overture_in_the_French_Style.jpg"
3e736ffa-00fe-456a-98e1-3412ae8f821b,Ensemble Pieces,classical,1975,John Adams,422bff22-611c-4656-ba4a-7d3cbe23805e,11783531956,http://coverartarchive.org/release/422bff22-611c-4656-ba4a-7d3cbe23805e/11783531956-250.jpg,1970s,John_Adams_Ensemble_Pieces.jpg
