release_group_mbid,release_group_name,genre,release_year,artist_name,release_id,cover_art_id,imUrl,decade,image_file
50b47cea-d1b7-408a-a0e1-febb4c57a3f7,Christmas Is…,pop,1970,John Farnham,aba41239-f009-4b20-a30e-09fe8f8a29b0,10035083257,http://coverartarchive.org/release/aba41239-f009-4b20-a30e-09fe8f8a29b0/10035083257-250.jpg,1970s,John_Farnham_Christmas_Is….jpg
d3032b9b-fe44-4b73-a8d4-d8f69770b408,Un peu de sang breton,pop,1971,Alain Barrière,1ae11f09-9081-4c7d-82cf-954b80b582c2,24942192385,http://coverartarchive.org/release/1ae11f09-9081-4c7d-82cf-954b80b582c2/24942192385-250.jpg,1970s,Alain_Barrière_Un_peu_de_sang_breton.jpg
668f4a61-84c6-448d-b9cd-a941ae44ea35,Beachparty 3,pop,1972,James Last,93249527-4d4d-4ca4-998f-e682ee22ef00,2008927572,http://coverartarchive.org/release/93249527-4d4d-4ca4-998f-e682ee22ef00/2008927572-250.jpg,1970s,James_Last_Beachparty_3.jpg
02cd8272-e8db-4992-af06-3ee351812b78,Solange ich lebe,pop,1973,Bata Illic,c1602dc0-0851-4cb2-9967-4f6acda8ff27,38560269285,http://coverartarchive.org/release/c1602dc0-0851-4cb2-9967-4f6acda8ff27/38560269285-250.jpg,1970s,Bata_Illic_Solange_ich_lebe.jpg
6b071395-7262-467c-b008-1587447e119a,You Pays Yer Money And You Takes Yer Chance,pop,1974,Middle of the Road,36309354-ce4e-4798-b2d5-152edbc3174b,33570395132,http://coverartarchive.org/release/36309354-ce4e-4798-b2d5-152edbc3174b/33570395132-250.jpg,1970s,Middle_of_the_Road_You_Pays_Yer_Money_And_You_Takes_Yer_Chance.jpg
e62b0ca6-f95b-4e9e-b863-6b9e1f11669c,Soitellaan 7,pop,1975,Various Artists,242479b1-5df7-46da-992c-d594526d7827,7485057550,http://coverartarchive.org/release/242479b1-5df7-46da-992c-d594526d7827/7485057550-250.jpg,1970s,Various_Artists_Soitellaan_7.jpg
a34c159b-2aa2-30f4-a7a9-d944c975c3db,"Top of the Pops, Volume 48",pop,1975,Top of the Poppers,73ca496b-9aeb-494f-9335-bec20defc18e,13452077509,http://coverartarchive.org/release/73ca496b-9aeb-494f-9335-bec20defc18e/13452077509-250.jpg,1970s,"Top_of_the_Poppers_Top_of_the_Pops,_Volume_48.jpg"
c3bfca7e-0692-47bd-850b-475ce0b459a3,Udo75 – Ein neuer Morgen,pop,1975,Udo Jürgens,425bfd9b-8329-4af4-8f8a-07b867a0c39d,25005472573,http://coverartarchive.org/release/425bfd9b-8329-4af4-8f8a-07b867a0c39d/25005472573-250.jpg,1970s,Udo_Jürgens_Udo75_–_Ein_neuer_Morgen.jpg
32118d43-9b65-4494-ab75-094ba07ecde3,Meine Lieder 2,pop,1976,Udo Jürgens,0cc0e129-5bc0-4efd-9bdc-d5992d2c7906,25005889302,http://coverartarchive.org/release/0cc0e129-5bc0-4efd-9bdc-d5992d2c7906/25005889302-250.jpg,1970s,Udo_Jürgens_Meine_Lieder_2.jpg
f7f5699c-7303-46d9-a006-7c7e4f8d9665,Soitellen,pop,1976,Jörgen Petersenin orkesteri,96952745-3513-4776-9884-0096c0380255,5734872928,http://coverartarchive.org/release/96952745-3513-4776-9884-0096c0380255/5734872928-250.jpg,1970s,Jörgen_Petersenin_orkesteri_Soitellen.jpg
6ed6f22c-e9f0-4a76-9091-d7b6bdf909c3,Tomorrow,pop,1976,Wayne Newton,2c7c9045-cb0d-464c-bbe0-3f139dd2763c,23055616514,http://coverartarchive.org/release/2c7c9045-cb0d-464c-bbe0-3f139dd2763c/23055616514-250.jpg,1970s,Wayne_Newton_Tomorrow.jpg
895231b6-0ba6-3017-ab3e-93fdac46b963,Entre amigos,pop,1977,Camilo Sesto,1aaa7713-101c-446c-a581-4531e6442015,16068310203,http://coverartarchive.org/release/1aaa7713-101c-446c-a581-4531e6442015/16068310203-250.jpg,1970s,Camilo_Sesto_Entre_amigos.jpg
69defe0c-a9cd-4f63-b9cd-6698beea3ab8,Tu vois c’que j’veux dire,pop,1977,Morice Benin,9a15889d-7e03-4faf-ab1a-b0c2a28df561,11998209951,http://coverartarchive.org/release/9a15889d-7e03-4faf-ab1a-b0c2a28df561/11998209951-250.jpg,1970s,Morice_Benin_Tu_vois_c’que_j’veux_dire.jpg
56ed658e-12be-468f-bbfb-9f9f2cb1cf84,Wie es euch gefällt,pop,1977,Cindy & Bert,e1153e76-06e3-4ae6-a848-ecda3e171029,38577753654,http://coverartarchive.org/release/e1153e76-06e3-4ae6-a848-ecda3e171029/38577753654-250.jpg,1970s,Cindy_&_Bert_Wie_es_euch_gefällt.jpg
ce969eb9-1b62-4c67-b6e4-655fc4810a36,The Fool Strikes Again,pop,1978,Charlie Rich,ff77a649-205b-4077-83c8-68ab0fc97ace,22096265287,http://coverartarchive.org/release/ff77a649-205b-4077-83c8-68ab0fc97ace/22096265287-250.jpg,1970s,Charlie_Rich_The_Fool_Strikes_Again.jpg
f5ccceee-2b36-439e-901f-26f582d625b2,とまり木,pop,1978,柴田容子,92af4314-787c-4065-a2fc-8a7df6355433,33778335219,http://coverartarchive.org/release/92af4314-787c-4065-a2fc-8a7df6355433/33778335219-250.jpg,1970s,柴田容子_とまり木.jpg
4523c83b-1a17-48fe-adc3-f2e6dd8dab94,A Christmas Together,pop,1979,John Denver,da56e706-7908-3369-8d87-d0fe206b482c,11907603600,http://coverartarchive.org/release/da56e706-7908-3369-8d87-d0fe206b482c/11907603600-250.jpg,1970s,John_Denver_A_Christmas_Together.jpg
e741a92c-de92-43d3-baf2-03e184f6c10c,Арлекино и другие,pop,1979,Алла Пугачёва,c166cd32-84ba-4335-8dca-bfe695f14636,24707149978,http://coverartarchive.org/release/c166cd32-84ba-4335-8dca-bfe695f14636/24707149978-250.jpg,1970s,Алла_Пугачёва_Арлекино_и_другие.jpg
c6e88368-f789-4def-918a-fba01eca730c,悶えの部屋,pop,1979,谷ナオミ,91b92548-9806-4eb0-9104-377e4780a5e7,10718919723,http://coverartarchive.org/release/91b92548-9806-4eb0-9104-377e4780a5e7/10718919723-250.jpg,1970s,谷ナオミ_悶えの部屋.jpg
e39f2732-3c06-4eb5-b6d2-d0bec28980bf,情人箭,pop,1979,張國榮,db275dac-b33c-4c25-a8b1-a5cbf7afc297,17174850336,http://coverartarchive.org/release/db275dac-b33c-4c25-a8b1-a5cbf7afc297/17174850336-250.jpg,1970s,張國榮_情人箭.jpg
