release_group_mbid,release_group_name,genre,release_year,artist_name,release_id,cover_art_id,imUrl,decade,image_file
49fee53c-526c-317b-9710-56c2bd3b43ad,Copperfields,rock,1970,The Dillards,8960308b-1171-4ffb-9977-699d978a7a8d,17219582676,http://coverartarchive.org/release/8960308b-1171-4ffb-9977-699d978a7a8d/17219582676-250.jpg,1970s,The_Dillards_Copperfields.jpg
2b57d95b-cea9-3fc1-88c8-594892e2a867,Eric Quincy Tate,rock,1970,Eric Quincy Tate,4f48deec-07a0-4e8d-be23-b5548beb767a,38170230542,http://coverartarchive.org/release/4f48deec-07a0-4e8d-be23-b5548beb767a/38170230542-250.jpg,1970s,Eric_Quincy_Tate_Eric_Quincy_Tate.jpg
654177d0-9a68-4a84-a76b-6a17b36a27e8,From Home to Home,rock,1970,Fairfield Parlour,eab45afc-f4d2-4602-aca4-2577b36b541d,6473909896,http://coverartarchive.org/release/eab45afc-f4d2-4602-aca4-2577b36b541d/6473909896-250.jpg,1970s,Fairfield_Parlour_From_Home_to_Home.jpg
d9869977-8456-4e89-827e-7389eb4ef204,Great Expectations,rock,1970,Kiki Dee,81ffcfda-5f4a-4845-ad8f-dab7269cce2d,24582218827,http://coverartarchive.org/release/81ffcfda-5f4a-4845-ad8f-dab7269cce2d/24582218827-250.jpg,1970s,Kiki_Dee_Great_Expectations.jpg
c0d83287-677f-36fa-b27b-b42f980578b4,蓄音盤,rock,1970,あがた森魚,8414e414-87ba-497a-a046-f701adb5559f,36672418842,http://coverartarchive.org/release/8414e414-87ba-497a-a046-f701adb5559f/36672418842-250.jpg,1970s,あがた森魚_蓄音盤.jpg
76a01f5a-0349-3cc8-9c22-761957ce678a,Leon Russell and the Shelter People,rock,1971,Leon Russell,0fb3dbc8-39d5-48fe-8e00-44f87627e214,19944234483,http://coverartarchive.org/release/0fb3dbc8-39d5-48fe-8e00-44f87627e214/19944234483-250.jpg,1970s,Leon_Russell_Leon_Russell_and_the_Shelter_People.jpg
7cbcc1bb-2565-4e3c-ab71-e69b9140b25f,Forget Your Dream!,rock,1972,Pacific Sound,3dfcecbe-0143-4e2a-8bda-058baf4e80b0,9380361837,http://coverartarchive.org/release/3dfcecbe-0143-4e2a-8bda-058baf4e80b0/9380361837-250.jpg,1970s,Pacific_Sound_Forget_Your_Dream!.jpg
28a9de0e-0f72-4399-9632-73de647c7465,Shadrack Chameleon,rock,1973,Shadrack Chameleon,2afed5cc-2b6f-40c2-a65f-c88fe6336aea,9448281869,http://coverartarchive.org/release/2afed5cc-2b6f-40c2-a65f-c88fe6336aea/9448281869-250.jpg,1970s,Shadrack_Chameleon_Shadrack_Chameleon.jpg
31281d91-af97-3850-933e-8adf069b4e22,Being,rock,1974,Wigwam,d8a66d2e-933d-4d16-9f26-499ad013bacf,27403395079,http://coverartarchive.org/release/d8a66d2e-933d-4d16-9f26-499ad013bacf/27403395079-250.jpg,1970s,Wigwam_Being.jpg
639df422-cec4-3f69-b0c9-044495be9756,Desert Places,rock,1974,Satin Whale,ac01420f-d9ef-4d6c-bc3f-9f7434748022,17951723022,http://coverartarchive.org/release/ac01420f-d9ef-4d6c-bc3f-9f7434748022/17951723022-250.jpg,1970s,Satin_Whale_Desert_Places.jpg
